,player,targets,rec,rec_yds,rec_td,rec_long,rec_air_yds,rec_yac,rec_drops
34,Andre Patton,17,6,56,0,41,272.1,28,0
35,Andre Roberts,14,8,89,0,87,185.9,26,2
36,Andrew Beck,18,12,149,1,120,74.0,105,2
37,Andrew Thomas,1,1,2,1,2,2.0,0,0
38,Andy Dalton,2,2,-7,0,-7,-15.0,8,0
39,Andy Isabella,54,33,447,3,360,551.9,234,2
40,Andy Janovich,14,10,64,0,59,27.0,49,2
41,Anthony Firkser,132,95,1010,6,627,982.4,370,5
42,Anthony McFarland Jr.,10,7,65,0,58,23.0,58,1
43,Anthony Miller,176,109,1188,5,514,1702.0,376,7
44,Anthony Schwartz,29,11,154,1,118,477.8,15,3
45,Anthony Sherman,6,3,27,1,27,21.0,30,3
46,Antoine Wesley,34,19,208,3,119,378.4,61,1
47,Antonio Brown,144,99,1165,11,473,1500.1,470,3
48,Antonio Callaway,19,10,109,0,81,181.3,47,2
49,Antonio Gandy-Golden,7,1,3,0,3,79.1,1,1
50,Antonio Gibson ,127,102,738,5,449,18.299999999999997,777,10
51,Antonio Williams,1,1,20,0,20,4.0,16,0
52,Antony Auclair,9,6,58,1,50,36.0,33,0
53,Armani Rogers,6,5,64,0,53,13.0,57,0
54,Ashton Dulin,48,30,411,2,338,544.2,132,2
55,Auden Tate,106,57,764,2,369,1172.7,199,3
56,Austin Carr,8,4,36,1,36,73.0,15,1
57,Austin Ekeler,328,269,2400,21,940,174.6,2476,13
58,Austin Hooper,257,178,1745,14,744,1639.0,735,10
59,Austin Mack,11,7,91,0,69,91.1,37,1
60,Austin Walter,4,3,36,0,38,-15.0,46,0
61,Avery Williams,8,7,33,0,34,-24.0,54,0
62,Bailey Zappe,1,1,-6,0,-6,-8.0,2,0
63,Baker Mayfield,2,2,-2,0,-2,-4.0,2,0
64,Ben Braunecker,11,6,59,1,49,111.0,25,1
65,Ben Ellefson,8,4,36,0,24,67.0,14,2
66,Ben Koyack,3,1,9,0,9,5.0,3,1
67,Ben Skowronek,56,37,376,0,209,504.4,161,6
68,Ben Watson,28,20,211,0,138,252.3,89,3
69,Bennie Fowler,42,25,204,0,93,416.6,30,3
70,Benny Snell Jr.,26,18,117,0,82,-30.1,148,2
71,Bilal Powell,12,7,33,0,27,20.9,45,3
72,Blake Bell,46,31,282,1,226,211.1,138,4
73,Blake Jarwin,60,43,473,5,321,483.1,195,1
74,Bo Scarbrough,4,1,5,0,5,-8.1,8,0
75,Bobby Massie,1,1,4,0,4,3.0,1,0
76,Bobby Price,1,1,17,0,17,9.0,8,0
77,Bobo Wilson,11,3,35,0,35,135.1,3,1
78,Boston Scott,83,67,525,1,284,34.599999999999994,582,1
79,Brandin Cooks,378,245,3124,15,1272,4305.7,971,15
80,Brandon Aiyuk,250,163,2192,14,903,2405.1,889,11
81,Brandon Allen,1,0,0,0,0,8.0,0,0
82,Brandon Bolden,74,62,596,4,340,138.9,517,4
83,Brandon Dillon,1,1,6,0,6,5.0,1,0
84,Brandon Powell,28,21,139,2,101,105.2,102,1
85,Brandon Zylstra,41,29,391,1,250,477.3,143,0
86,Braxton Berrios,148,100,1003,5,585,932.1,590,6
87,Braylon Sanders,2,2,17,0,13,14.0,3,0
